Date,Close,Open,High,Low,Volume,Change
2020-01-02,674.02,672.53,674.3,666.62,783730000.0,0.0063
2020-01-03,669.93,677.57,679.37,668.1,903860000.0,-0.0060999999999999995
2020-01-06,655.31,660.08,663.1,653.61,884280000.0,-0.0218
2020-01-07,663.44,660.87,664.21,659.18,970310000.0,0.0124
2020-01-08,640.94,657.24,658.14,637.43,1380000000.0,-0.0339
2020-01-09,666.09,657.01,666.09,656.25,980620000.0,0.0392
2020-01-10,673.03,668.79,673.03,665.92,837390000.0,0.0104
2020-01-13,679.22,673.76,679.22,673.23,894400000.0,0.0092
2020-01-14,678.71,682.14,685.88,676.78,897260000.0,-0.0008
2020-01-15,679.16,678.83,681.39,676.91,908210000.0,0.0007000000000000001
2020-01-16,686.52,679.67,686.52,679.49,880290000.0,0.0108
2020-01-17,688.41,689.73,690.61,686.68,1030000000.0,0.0028000000000000004
2020-01-20,683.47,690.85,691.17,682.48,1020000000.0,-0.0072
2020-01-21,676.52,683.82,685.89,675.48,1030000000.0,-0.0102
2020-01-22,688.25,677.05,688.28,677.05,1010000000.0,0.0173
2020-01-23,685.57,685.94,687.71,683.52,957780000.0,-0.0039000000000000003
2020-01-28,664.7,660.79,668.22,658.78,1160000000.0,-0.0304
2020-01-29,670.18,671.08,671.98,664.09,1060000000.0,0.008199999999999999
2020-01-30,656.39,670.65,673.17,652.42,1210000000.0,-0.0206
2020-01-31,642.48,660.98,664.77,641.57,1340000000.0,-0.0212
2020-02-03,646.85,631.82,648.34,627.65,1190000000.0,0.0068000000000000005
2020-02-04,661.24,650.72,661.24,649.22,938250000.0,0.0222
2020-02-05,661.32,666.74,668.91,658.03,991280000.0,0.0001
2020-02-06,672.69,665.94,672.69,665.88,946330000.0,0.0172
2020-02-07,672.63,673.11,674.03,667.93,1020000000.0,-0.0001
2020-02-10,676.07,669.53,676.08,668.1,979100000.0,0.0051
2020-02-11,682.34,678.97,682.34,678.43,1170000000.0,0.009300000000000001
2020-02-12,686.59,683.26,686.79,680.26,1330000000.0,0.0062
2020-02-13,687.61,689.54,691.43,681.77,1350000000.0,0.0015
2020-02-14,688.91,687.23,692.0,685.67,1500000000.0,0.0019
2020-02-17,692.59,690.35,692.64,686.73,1520000000.0,0.0053
2020-02-18,682.92,691.42,692.52,681.44,1780000000.0,-0.013999999999999999
2020-02-19,684.78,686.89,688.11,673.64,1600000000.0,0.0027
