Date,Close,Open,High,Low,Volume,Change
2020-01-02,2175.17,2201.21,2202.32,2171.84,494680000.0,-0.0102
2020-01-03,2176.46,2192.58,2203.38,2165.39,631560000.0,0.0006
2020-01-06,2155.07,2154.97,2164.42,2149.95,592670000.0,-0.0098
2020-01-07,2175.54,2166.6,2181.62,2164.27,568240000.0,0.0095
2020-01-08,2151.31,2156.27,2162.32,2137.72,913830000.0,-0.0111
2020-01-09,2186.45,2182.2,2186.45,2172.16,592600000.0,0.0163
2020-01-10,2206.39,2189.48,2206.92,2188.1,594540000.0,0.0091
2020-01-13,2229.26,2204.49,2230.43,2204.49,488290000.0,0.0104
2020-01-14,2238.88,2243.06,2250.79,2232.94,835900000.0,0.0043
2020-01-15,2230.98,2229.8,2238.21,2223.39,746160000.0,-0.0034999999999999996
2020-01-16,2248.05,2231.93,2249.09,2225.41,808330000.0,0.0077
2020-01-17,2250.57,2261.57,2268.71,2245.58,580820000.0,0.0011
2020-01-20,2262.64,2261.4,2277.23,2258.09,545490000.0,0.0054
2020-01-21,2239.69,2259.81,2266.31,2238.25,770320000.0,-0.0101
2020-01-22,2267.25,2238.53,2269.27,2235.13,608510000.0,0.0123
2020-01-23,2246.13,2254.54,2260.63,2241.94,509610000.0,-0.009300000000000001
2020-01-28,2176.72,2192.22,2199.93,2166.23,808880000.0,-0.030899999999999997
2020-01-29,2185.28,2188.18,2195.45,2172.33,692300000.0,0.0039000000000000003
2020-01-30,2148.0,2181.54,2187.45,2139.72,602840000.0,-0.0171
2020-01-31,2119.01,2160.6,2167.23,2119.01,710510000.0,-0.013500000000000002
2020-02-03,2118.88,2086.61,2126.73,2082.74,836700000.0,-0.0001
2020-02-04,2157.9,2121.22,2162.32,2120.53,624640000.0,0.0184
2020-02-05,2165.63,2177.26,2181.52,2154.88,574400000.0,0.0036
2020-02-06,2227.94,2184.77,2229.99,2182.25,695220000.0,0.0288
2020-02-07,2211.95,2221.49,2223.92,2198.14,800340000.0,-0.0072
2020-02-10,2201.07,2185.63,2203.39,2180.51,609570000.0,-0.0049
2020-02-11,2223.12,2213.5,2233.32,2211.25,526210000.00000006,0.01
2020-02-12,2238.38,2225.95,2242.24,2214.77,632460000.0,0.0069
2020-02-13,2232.96,2245.72,2255.49,2230.3,638670000.0,-0.0024
2020-02-14,2243.59,2232.71,2251.5,2221.9,597220000.0,0.0048
2020-02-17,2242.17,2243.07,2250.05,2230.26,458250000.0,-0.0006
2020-02-18,2208.88,2225.98,2232.93,2205.21,470420000.0,-0.0148
2020-02-19,2210.34,2222.51,2226.0,2191.2,591160000.0,0.0007000000000000001
2020-02-20,2195.5,2223.55,2228.18,2186.72,709560000.0,-0.0067
2020-02-21,2162.84,2165.65,2184.43,2160.28,635470000.0,-0.0149
2020-02-24,2079.04,2114.04,2120.06,2079.03,948620000.0,-0.0387
2020-02-25,2103.61,2075.55,2105.49,2071.5,1570000000.0,0.0118
2020-02-26,2076.77,2064.07,2089.64,2059.13,810940000.0,-0.0128
2020-02-27,2054.89,2073.87,2085.4,2049.15,562770000.0,-0.0105
2020-02-28,1987.01,2020.17,2031.01,1980.82,671550000.0,-0.033
2020-03-02,2002.51,1997.03,2017.07,1969.34,528100000.0,0.0078000000000000005
2020-03-03,2014.15,2051.85,2051.85,2009.39,615690000.0,0.0058
2020-03-04,2059.33,2005.81,2063.59,2005.81,606290000.0,0.022400000000000003
2020-03-05,2085.26,2078.11,2089.08,2059.99,675200000.0,0.0126
2020-03-06,2040.22,2053.09,2062.57,2032.13,865590000.0,-0.0216
2020-03-09,1954.77,1981.02,1989.5,1946.9,666870000.0,-0.04190000000000001
2020-03-10,1962.93,1942.85,1968.17,1934.72,638560000.0,0.0042
2020-03-11,1908.27,1965.67,1967.7,1898.27,679720000.0,-0.0278
2020-03-12,1834.33,1887.97,1897.23,1808.56,850340000.0,-0.0387
2020-03-13,1771.44,1722.68,1809.31,1680.6,1040000000.0,-0.034300000000000004
2020-03-16,1714.86,1805.43,1805.43,1714.38,682000000.0,-0.0319
2020-03-17,1672.44,1640.84,1722.97,1637.88,649780000.0,-0.024700000000000003
2020-03-18,1591.2,1686.12,1693.95,1591.12,728010000.0,-0.048600000000000004
2020-03-19,1457.64,1626.09,1626.09,1439.43,977670000.0,-0.0839
2020-03-20,1566.15,1498.49,1566.82,1466.48,817020000.0,0.07440000000000001
2020-03-23,1482.46,1474.45,1516.75,1458.41,647530000.0,-0.053399999999999996
2020-03-24,1609.97,1523.69,1609.97,1508.68,679290000.0,0.086
2020-03-25,1704.76,1668.19,1707.64,1645.28,872810000.0,0.058899999999999994
2020-03-26,1686.24,1699.11,1735.75,1679.23,992470000.0,-0.0109
2020-03-27,1717.73,1756.07,1759.05,1668.21,1080000000.0,0.0187
2020-03-30,1717.12,1670.34,1729.63,1659.95,767780000.0,-0.0004
2020-03-31,1754.64,1739.29,1757.81,1722.62,1040000000.0,0.0219
2020-04-01,1685.46,1737.28,1762.44,1685.37,1240000000.0,-0.0394
2020-04-02,1724.86,1693.53,1726.76,1664.13,766310000.0,0.023399999999999997
2020-04-03,1725.44,1731.17,1743.91,1706.68,1000000000.0,0.0003
2020-04-06,1791.88,1745.25,1794.19,1742.67,1220000000.0,0.0385
2020-04-07,1823.6,1826.72,1838.97,1791.92,951740000.0,0.0177
2020-04-08,1807.14,1815.75,1842.16,1801.8,907490000.0,-0.009000000000000001
2020-04-09,1836.21,1838.09,1839.33,1818.3,920570000.0,0.0161
2020-04-10,1860.7,1835.76,1861.1,1824.43,992550000.0,0.013300000000000001
2020-04-13,1825.76,1853.3,1853.3,1825.76,1020000000.0,-0.018799999999999997
2020-04-14,1857.08,1846.41,1864.46,1837.17,886770000.0,0.0172
2020-04-16,1857.07,1839.51,1862.23,1828.13,878340000.0,-0.0
2020-04-17,1914.53,1893.31,1926.02,1893.19,1670000000.0,0.030899999999999997
2020-04-20,1898.36,1908.34,1925.25,1893.17,1090000000.0,-0.0084
2020-04-21,1879.38,1886.78,1898.32,1841.66,1170000000.0,-0.01
2020-04-22,1896.15,1855.51,1897.9,1844.85,820360000.0,0.0089
2020-04-23,1914.73,1907.45,1923.53,1895.98,683720000.0,0.0098
2020-04-24,1889.01,1906.07,1908.29,1880.71,933920000.0,-0.0134
2020-04-27,1922.77,1897.06,1929.82,1894.62,735660000.0,0.0179
2020-04-28,1934.09,1931.25,1941.79,1911.63,1170000000.0,0.0059
2020-04-29,1947.56,1936.89,1957.51,1934.31,1980000000.0,0.006999999999999999
2020-05-04,1895.37,1906.42,1918.66,1894.29,1150000000.0,-0.0268
2020-05-06,1928.76,1919.45,1928.76,1902.55,1080000000.0,0.0176
2020-05-07,1928.61,1922.0,1938.5,1918.57,775660000.0,-0.0001
2020-05-08,1945.82,1944.94,1956.89,1942.54,784770000.0,0.0089
2020-05-11,1935.4,1953.51,1960.46,1932.87,591280000.0,-0.0054
2020-05-12,1922.17,1938.62,1938.62,1905.17,799930000.0,-0.0068000000000000005
2020-05-13,1940.42,1897.5,1940.42,1897.24,618780000.0,0.0095
2020-05-14,1924.96,1922.44,1931.43,1913.49,760650000.0,-0.008
2020-05-15,1927.28,1937.63,1938.59,1913.21,866360000.0,0.0012
2020-05-18,1937.11,1934.51,1943.07,1921.14,761690000.0,0.0051
2020-05-19,1980.61,1977.47,1983.77,1968.59,773410000.0,0.0225
2020-05-20,1989.64,1972.12,1992.2,1972.12,699450000.0,0.0046
2020-05-21,1998.31,2003.2,2004.95,1993.0,601200000.0,0.0044
