티커,종목명,시가,종가,변동폭,등락률,거래량,거래대금
095570,AJ네트웍스,8030,8390,360,4.48,1809512,14437661840
006840,AK홀딩스,16350,16450,100,0.61,175328,2893172000
027410,BGF,4215,4245,30,0.71,1723346,7370311660
282330,BGF리테일,181000,171500,-9500,-5.25,808391,140089235500
138930,BNK금융지주,6790,6850,60,0.88,14517931,98746067580
001460,BYC,424500,414000,-10500,-2.47,1197,493580500
001465,BYC우,159000,153500,-5500,-3.46,1044,161978500
001040,CJ,79800,81000,1200,1.5,417753,33333859600
079160,CJCGV,20800,21100,300,1.44,2355045,50316926800
00104K,CJ4우전환,71400,71900,500,0.7,59807,4249111600
000120,CJ대한통운,116500,124500,8000,6.87,749838,90920511500
011150,CJ씨푸드,3295,3465,170,5.16,3357409,11594444560
011155,CJ씨푸드1우,27850,28750,900,3.23,1833,51504000
001045,CJ우,48100,50200,2100,4.37,35641,1743806350
097950,CJ제일제당,391500,416000,24500,6.26,739398,305798799750
097955,CJ제일제당우,169000,174500,5500,3.25,22958,4020067000
000590,CS홀딩스,66000,74800,8800,13.33,207508,15128136200
012030,DB,830,835,5,0.6,3342587,2769704254
016610,DB금융투자,5180,5060,-120,-2.32,463259,2391319930
005830,DB손해보험,60600,63800,3200,5.28,2220798,140430388490
000990,DB하이텍,45000,45200,200,0.44,10314140,457197994300
000995,DB하이텍1우,83900,86100,2200,2.62,28472,2573538900
139130,DGB금융지주,7720,7590,-130,-1.68,7044656,53538104160
001530,DI동일,18200,19750,1550,8.52,1459097,28244083950
000210,DL,65000,67100,2100,3.23,1752076,119096957300
001880,DL건설,21200,21300,100,0.47,423257,9267683650
000215,DL우,38650,39850,1200,3.1,40039,1592417800
375500,DL이앤씨,40550,42450,1900,4.69,3696177,159175024100
37550L,DL이앤씨2우전환,33900,34800,900,2.65,38108,1314469850
37550K,DL이앤씨우,28500,30250,1750,6.14,56271,1662727800
007340,DN오토모티브,57300,67000,9700,16.93,414354,25778265300
004840,DRB동일,4530,4660,130,2.87,224448,1034145885
155660,DSR,5740,5880,140,2.44,1053423,6356283880
069730,DSR제강,5020,5170,150,2.99,1239349,6568785910
017940,E1,44650,47200,2550,5.71,116767,5309757000
365550,ESR켄달스퀘어리츠,5190,5550,360,6.94,2182464,11939063713
383220,FF,149500,151500,2000,1.34,2092586,322412117000
007700,FF홀딩스,18950,19850,900,4.75,640346,12767430000
114090,GKL,14350,15400,1050,7.32,4074714,61076047650
078930,GS,41650,44350,2700,6.48,2184178,92069103400
006360,GS건설,29800,30950,1150,3.86,9615489,302168702350
001250,GS글로벌,3585,3670,85,2.37,111257420,421811122775
007070,GS리테일,24550,25500,950,3.87,2802549,70935981400
078935,GS우,34500,35800,1300,3.77,46611,1622045100
012630,HDC,6960,7030,70,1.01,737967,5134544480
