Date,Close,Open,High,Low,Volume,Change
2020-01-02,9092.19,9039.46,9093.43,9010.89,654950000.0,0.013300000000000001
2020-01-03,9020.77,8976.43,9065.76,8976.43,618550000.0,-0.0079
2020-01-06,9071.47,8943.5,9072.41,8943.5,690230000.0,0.005600000000000001
2020-01-07,9068.58,9076.65,9091.93,9042.55,552230000.0,-0.0003
2020-01-08,9129.24,9068.03,9168.89,9059.38,595810000.0,0.0067
2020-01-09,9203.43,9202.27,9215.95,9158.5,601330000.0,0.008100000000000001
2020-01-10,9178.86,9232.94,9235.2,9164.66,585080000.0,-0.0027
2020-01-13,9273.93,9213.72,9274.49,9193.06,605160000.0,0.0104
2020-01-14,9251.33,9270.61,9298.33,9226.49,624220000.0,-0.0024
2020-01-15,9258.69,9253.76,9298.82,9231.14,584770000.0,0.0008
2020-01-16,9357.13,9313.44,9357.92,9301.32,567150000.0,0.0106
2020-01-17,9388.94,9392.37,9393.48,9346.81,659470000.0,0.0034000000000000002
2020-01-21,9370.81,9361.07,9397.58,9350.2,691600000.0,-0.0019
2020-01-22,9383.77,9413.61,9439.29,9375.13,580340000.0,0.0014000000000000002
2020-01-23,9402.48,9377.72,9409.2,9334.13,611040000.0,0.002
2020-01-24,9314.91,9446.2,9451.43,9273.23,629460000.0,-0.009300000000000001
2020-01-27,9139.31,9092.46,9185.45,9088.04,686780000.0,-0.0189
2020-01-28,9269.68,9201.82,9288.87,9182.33,530770000.0,0.0143
2020-01-29,9275.16,9318.26,9329.11,9249.04,548870000.0,0.0006
2020-01-30,9298.93,9211.15,9303.0,9185.18,573680000.0,0.0026
2020-01-31,9150.94,9324.33,9324.8,9123.22,695770000.0,-0.0159
2020-02-03,9273.4,9190.72,9299.85,9188.55,623270000.0,0.0134
2020-02-04,9467.97,9398.39,9485.38,9374.05,607830000.0,0.021
2020-02-05,9508.68,9574.1,9574.93,9454.93,625910000.0,0.0043
2020-02-06,9572.15,9540.98,9575.66,9505.68,582670000.0,0.0067
2020-02-07,9520.51,9526.64,9570.09,9496.53,549790000.0,-0.0054
2020-02-10,9628.39,9493.63,9628.66,9493.63,546600000.0,0.0113
2020-02-11,9638.94,9680.89,9714.74,9617.21,567800000.0,0.0011
2020-02-12,9725.96,9688.6,9728.77,9666.68,589710000.0,0.009000000000000001
2020-02-13,9711.97,9657.04,9748.32,9650.02,545840000.0,-0.0014000000000000002
2020-02-14,9731.18,9728.9,9746.36,9693.05,536340000.00000006,0.002
2020-02-18,9732.74,9679.04,9747.68,9675.8,555310000.0,0.0002
2020-02-19,9817.18,9782.81,9838.37,9777.1,580070000.0,0.0087
2020-02-20,9750.97,9799.2,9820.86,9636.94,646920000.0,-0.0067
2020-02-21,9576.59,9708.01,9715.95,9542.33,699670000.0,-0.0179
2020-02-24,9221.28,9188.44,9322.88,9166.01,795200000.0,-0.0371
2020-02-25,8965.61,9301.2,9315.26,8940.49,871820000.0,-0.0277
2020-02-26,8980.77,9011.55,9148.32,8927.8,870350000.0,0.0017000000000000001
2020-02-27,8566.48,8744.03,8904.11,8562.05,1150000000.0,-0.0461
2020-02-28,8567.37,8269.74,8591.82,8264.16,1440000000.0,0.0001
2020-03-02,8952.17,8667.14,8952.81,8543.35,1100000000.0,0.0449
2020-03-03,8684.09,8965.1,9070.32,8602.89,1100000000.0,-0.029900000000000003
2020-03-04,9018.09,8834.1,9019.96,8757.66,878060000.0,0.0385
2020-03-05,8738.59,8790.09,8921.08,8677.39,901110000.0,-0.031
2020-03-06,8575.62,8469.01,8612.36,8375.13,1050000000.0,-0.018600000000000002
2020-03-09,7950.68,7957.93,8243.31,7943.16,1200000000.0,-0.0729
2020-03-10,8344.25,8219.76,8347.4,7930.43,1120000000.0,0.0495
2020-03-11,7952.05,8136.25,8181.36,7850.94,1060000000.0,-0.047
2020-03-12,7201.8,7398.58,7712.33,7194.67,1340000000.0,-0.0943
2020-03-13,7874.88,7610.39,7875.93,7219.09,1250000000.0,0.0935
2020-03-16,6904.59,7392.73,7422.2,6882.86,1270000000.0,-0.1232
2020-03-17,7334.78,6904.59,7406.23,6828.91,1290000000.0,0.0623
2020-03-18,6989.84,6902.32,7182.83,6686.36,1260000000.0,-0.047
2020-03-19,7150.58,6996.45,7341.38,6858.38,1190000000.0,0.023
2020-03-20,6879.52,7248.07,7354.44,6854.67,1640000000.0,-0.0379
2020-03-23,6860.67,6847.28,6984.94,6631.42,1080000000.0,-0.0027
2020-03-24,7417.86,7196.15,7418.37,7169.86,1150000000.0,0.0812
2020-03-25,7384.3,7421.36,7671.21,7276.4,1190000000.0,-0.0045000000000000005
2020-03-26,7797.54,7462.21,7809.82,7462.21,1010000000.0,0.055999999999999994
2020-03-27,7502.38,7554.25,7716.24,7491.14,1000000000.0,-0.0379
2020-03-30,7774.15,7583.46,7784.35,7539.97,926450000.0,0.0362
2020-03-31,7700.1,7740.06,7880.31,7642.86,1100000000.0,-0.0095
2020-04-01,7360.58,7459.5,7566.37,7301.98,914110000.0,-0.0441
2020-04-02,7487.31,7317.45,7501.7,7307.95,912990000.0,0.0172
2020-04-03,7373.08,7477.27,7518.72,7288.11,836100000.0,-0.015300000000000001
2020-04-06,7913.24,7660.17,7938.33,7617.79,980150000.0,0.0733
2020-04-07,7887.26,8129.99,8146.43,7881.22,1000000000.0,-0.0033
2020-04-08,8090.9,7975.72,8114.43,7901.94,838250000.0,0.0258
2020-04-09,8153.57,8169.01,8227.91,8072.32,925800000.0,0.0077
2020-04-13,8192.42,8127.69,8200.44,8035.95,761870000.0,0.0048
2020-04-14,8515.74,8353.21,8531.11,8338.08,849820000.0,0.0395
2020-04-15,8393.18,8355.96,8464.66,8308.79,794060000.0,-0.0144
2020-04-16,8532.36,8479.11,8560.16,8393.27,919560000.0,0.0166
2020-04-17,8650.14,8667.48,8670.3,8531.69,1060000000.0,0.0138
2020-04-20,8560.73,8553.38,8684.91,8553.38,876310000.0,-0.0103
2020-04-21,8263.23,8460.69,8480.29,8215.69,881560000.0,-0.0348
2020-04-22,8495.38,8434.55,8537.31,8404.54,733430000.0,0.0281
2020-04-23,8494.75,8528.84,8635.23,8475.2,854520000.0,-0.0001
2020-04-24,8634.52,8530.08,8642.93,8464.42,797880000.0,0.0165
2020-04-27,8730.16,8717.98,8754.57,8697.37,807920000.0,0.0111
2020-04-28,8607.73,8825.68,8830.57,8600.7,846780000.0,-0.013999999999999999
2020-04-29,8914.71,8802.7,8957.26,8765.01,1030000000.0,0.035699999999999996
2020-04-30,8889.55,8911.01,8926.11,8825.83,1130000000.0,-0.0028000000000000004
2020-05-01,8604.95,8681.29,8754.46,8566.84,868790000.0,-0.032
2020-05-04,8710.72,8555.32,8715.82,8537.83,806280000.0,0.0123
2020-05-05,8809.12,8809.66,8909.96,8781.31,834180000.0,0.0113
2020-05-06,8854.39,8874.7,8933.25,8819.37,782810000.0,0.0051
2020-05-07,8979.66,8973.78,9015.99,8932.85,831290000.0,0.0141
2020-05-08,9121.32,9056.89,9125.98,9018.21,824610000.0,0.0158
2020-05-11,9192.34,9054.91,9241.92,9053.17,878430000.0,0.0078000000000000005
2020-05-12,9002.55,9225.15,9250.96,9000.07,922430000.0,-0.0206
2020-05-13,8863.17,9006.05,9074.16,8752.68,952960000.0,-0.0155
2020-05-14,8943.72,8788.04,8945.71,8705.25,883250000.0,0.0091
2020-05-15,9014.56,8839.99,9018.4,8821.38,1030000000.0,0.0079
2020-05-18,9234.83,9177.15,9267.22,9154.35,968790000.0,0.024399999999999998
2020-05-19,9185.1,9227.46,9317.25,9183.25,869450000.0,-0.0054
2020-05-20,9375.78,9305.62,9392.82,9304.2,938190000.0,0.0208
2020-05-21,9284.88,9375.19,9405.25,9254.85,785340000.0,-0.0097
2020-05-22,9324.59,9278.55,9328.28,9239.41,746030000.0,0.0043
2020-05-26,9340.22,9501.21,9501.21,9333.16,967900000.0,0.0017000000000000001
2020-05-27,9412.36,9346.12,9414.62,9144.28,951520000.0,0.0077
